text,label
What is your product must be unworn with tags?,retrieval
How do I contact support—what’s your email?,retrieval
Where can I find the privacy policy?,retrieval
Do you offer student discounts or first-order offers?,retrieval
How do I create an account and view orders?,retrieval
What are your customer care hours?,retrieval
What are your customer care hours?,retrieval
Is Levitate 6 good for flat feet?,retrieval
What’s your exchange policy during sale events?,retrieval
How do I create an account and view orders?,retrieval
Are the insoles removable in Launch 10?,retrieval
Do you ship on public holidays?,retrieval
What are your shipping charges within India?,retrieval
What is your defective product policy?,retrieval
How can I subscribe/unsubscribe to your newsletter?,retrieval
Where can I find the size guide for Adrenaline GTS 23?,retrieval
Where can I find the size guide for Launch 10?,retrieval
What is your defective product policy?,retrieval
What’s the difference between India Fit and Regular fit in Catamount 3?,retrieval
How do I initiate a size exchange?,retrieval
What payment methods do you accept?,retrieval
What’s the difference between India Fit and Regular fit in Glycerin 21?,retrieval
What’s the difference between India Fit and Regular fit in Divide 4?,retrieval
How do I initiate a size exchange?,retrieval
What are your customer care hours?,retrieval
How to apply a coupon on checkout?,retrieval
Is Adrenaline GTS 23 available in Teal India Fit UK 10?,retrieval
Where can I read the warranty details?,retrieval
Do you provide GST invoices?,retrieval
How can I subscribe/unsubscribe to your newsletter?,retrieval
Do you have a guide for pronation and shoe selection?,retrieval
What are your customer care hours?,retrieval
How long does delivery to Ahmedabad 600001 usually take?,retrieval
What is your free shipping pan-India?,retrieval
What’s the weight of Launch 10?,retrieval
Where can I read the warranty details?,retrieval
What are your customer care hours?,retrieval
What is your defective product policy?,retrieval
How can I subscribe/unsubscribe to your newsletter?,retrieval
Do you have Cash on Delivery for Delhi?,retrieval
Explain the difference between Divide 4 and Adrenaline GTS 23.,retrieval
Is Adrenaline GTS 23 good for flat feet?,retrieval
Do you have a guide for pronation and shoe selection?,retrieval
What is your 7-day size exchange only?,retrieval
Do you have Cash on Delivery for Kochi?,retrieval
How do I contact support—what’s your email?,retrieval
What is your defective product policy?,retrieval
Where can I find the size guide for Adrenaline GTS 23?,retrieval
Where can I find the size guide for Divide 4?,retrieval
How can I subscribe/unsubscribe to your newsletter?,retrieval
What’s the difference between India Fit and Regular fit in Ghost Max?,retrieval
What payment methods do you accept?,retrieval
Do you have Cash on Delivery for Chennai?,retrieval
What’s the weight of Levitate 6?,retrieval
Where can I read the warranty details?,retrieval
How do I contact support—what’s your email?,retrieval
Is Catamount 3 available in Teal Regular UK 6?,retrieval
What payment methods do you accept?,retrieval
Do you have Cash on Delivery for Chennai?,retrieval
Do you provide GST invoices?,retrieval
Where is the store locator?,retrieval
What are your customer care hours?,retrieval
What is your free shipping pan-India?,retrieval
What is your defective product policy?,retrieval
What’s the weight of Glycerin 21?,retrieval
Is Launch 10 good for flat feet?,retrieval
Do you offer student discounts or first-order offers?,retrieval
Do you offer international shipping from India?,retrieval
Where can I find the privacy policy?,retrieval
Do you provide GST invoices?,retrieval
Where is the store locator?,retrieval
Can I cancel an order before it ships?,retrieval
What is your defective product policy?,retrieval
What’s the weight of Adrenaline GTS 23?,retrieval
Are the insoles removable in Adrenaline GTS 23?,retrieval
Where can I find the size guide for Divide 4?,retrieval
Is Levitate 6 available in Blue Regular UK 12?,retrieval
Do you have a guide for pronation and shoe selection?,retrieval
Explain the difference between Ghost 16 and Catamount 3.,retrieval
How do I contact support—what’s your email?,retrieval
What’s the difference between India Fit and Regular fit in Hyperion Max?,retrieval
Is Ghost 16 available in Blue India Fit UK 8?,retrieval
How long does delivery to Delhi 600001 usually take?,retrieval
Where is the store locator?,retrieval
How long does delivery to Pune 500001 usually take?,retrieval
How do I initiate a size exchange?,retrieval
Is Divide 4 available in Red Narrow UK 8?,retrieval
What is your product must be unworn with tags?,retrieval
Do you provide GST invoices?,retrieval
Where can I read the warranty details?,retrieval
Do you provide GST invoices?,retrieval
Do you have Cash on Delivery for Bengaluru?,retrieval
Where can I read the warranty details?,retrieval
Is Levitate 6 good for flat feet?,retrieval
Can I cancel an order before it ships?,retrieval
Is Adrenaline GTS 23 good for flat feet?,retrieval
What is your defective product policy?,retrieval
How do I create an account and view orders?,retrieval
How do I initiate a size exchange?,retrieval
What’s the weight of Hyperion Max?,retrieval
Do you have a guide for pronation and shoe selection?,retrieval
Is Cascadia 17 good for flat feet?,retrieval
Where can I read the warranty details?,retrieval
Do you have Cash on Delivery for Hyderabad?,retrieval
Is Cascadia 17 good for flat feet?,retrieval
How can I subscribe/unsubscribe to your newsletter?,retrieval
Do you provide GST invoices?,retrieval
Do you have a guide for pronation and shoe selection?,retrieval
Do you provide GST invoices?,retrieval
How do I create an account and view orders?,retrieval
What’s your exchange policy during sale events?,retrieval
Where can I find the size guide for Ghost Max?,retrieval
Is Hyperion Max available in Blue Narrow UK 10?,retrieval
How to apply a coupon on checkout?,retrieval
Do you offer international shipping from India?,retrieval
Do you provide GST invoices?,retrieval
Do you offer international shipping from India?,retrieval
How can I subscribe/unsubscribe to your newsletter?,retrieval
Where is the store locator?,retrieval
How can I subscribe/unsubscribe to your newsletter?,retrieval
Explain the difference between Hyperion Max and Launch 10.,retrieval
Can I cancel an order before it ships?,retrieval
How do I contact support—what’s your email?,retrieval
Where can I read the warranty details?,retrieval
How do I initiate a size exchange?,retrieval
What are your customer care hours?,retrieval
Do you offer international shipping from India?,retrieval
What is your defective product policy?,retrieval
Where can I find the privacy policy?,retrieval
Do you have a return window?,retrieval
Do you offer student discounts or first-order offers?,retrieval
Where is the store locator?,retrieval
Where can I find the size guide for Ghost Max?,retrieval
Where is the store locator?,retrieval
Do you have Cash on Delivery for Jaipur?,retrieval
Where can I read the warranty details?,retrieval
Where can I read the warranty details?,retrieval
Do you have a return window?,retrieval
What’s the weight of Ghost 16?,retrieval
How do I create an account and view orders?,retrieval
Do you ship on public holidays?,retrieval
How to apply a coupon on checkout?,retrieval
Do you have a return window?,retrieval
Where is the store locator?,retrieval
What is your product must be unworn with tags?,retrieval
What’s the difference between India Fit and Regular fit in Catamount 3?,retrieval
What’s the difference between India Fit and Regular fit in Launch 10?,retrieval
What payment methods do you accept?,retrieval
Where can I read the warranty details?,retrieval
What is your free shipping pan-India?,retrieval
What’s the weight of Divide 4?,retrieval
Is Launch 10 good for flat feet?,retrieval
Where can I find the privacy policy?,retrieval
Can I cancel an order before it ships?,retrieval
Where can I find the size guide for Cascadia 17?,retrieval
What are your shipping charges within India?,retrieval
Are the insoles removable in Adrenaline GTS 23?,retrieval
Is Catamount 3 good for flat feet?,retrieval
What’s the difference between India Fit and Regular fit in Adrenaline GTS 23?,retrieval
What payment methods do you accept?,retrieval
Where is the store locator?,retrieval
Is Ghost 16 available in Black Narrow UK 11?,retrieval
Do you offer international shipping from India?,retrieval
Where can I find the privacy policy?,retrieval
Can I cancel an order before it ships?,retrieval
Do you have a return window?,retrieval
What are your customer care hours?,retrieval
Do you provide GST invoices?,retrieval
What is your defective product policy?,retrieval
What’s the difference between India Fit and Regular fit in Adrenaline GTS 23?,retrieval
How can I subscribe/unsubscribe to your newsletter?,retrieval
How do I contact support—what’s your email?,retrieval
Do you offer student discounts or first-order offers?,retrieval
What’s the weight of Ghost Max?,retrieval
Where can I find the size guide for Cascadia 17?,retrieval
What is your defective product policy?,retrieval
Where can I find the privacy policy?,retrieval
Do you ship on public holidays?,retrieval
Where can I find the privacy policy?,retrieval
How do I contact support—what’s your email?,retrieval
Can I cancel an order before it ships?,retrieval
Can I cancel an order before it ships?,retrieval
What are your customer care hours?,retrieval
Where can I find the privacy policy?,retrieval
What are your shipping charges within India?,retrieval
Is Ghost 16 available in Black Narrow UK 12?,retrieval
What is your defective product policy?,retrieval
What payment methods do you accept?,retrieval
What is your 7-day size exchange only?,retrieval
Do you offer student discounts or first-order offers?,retrieval
What’s the difference between India Fit and Regular fit in Cascadia 17?,retrieval
Where can I find the size guide for Ghost Max?,retrieval
Where is the store locator?,retrieval
Do you provide GST invoices?,retrieval
What are your customer care hours?,retrieval
What are your customer care hours?,retrieval
How do I create an account and view orders?,retrieval
Do you offer student discounts or first-order offers?,retrieval
What are your customer care hours?,retrieval
What is your defective product policy?,retrieval
Are the insoles removable in Ghost Max?,retrieval
Do you ship on public holidays?,retrieval
Is Catamount 3 available in Red Narrow UK 8?,retrieval
What’s the difference between India Fit and Regular fit in Adrenaline GTS 23?,retrieval
Can I cancel an order before it ships?,retrieval
What payment methods do you accept?,retrieval
What are your shipping charges within India?,retrieval
What are your customer care hours?,retrieval
How do I create an account and view orders?,retrieval
Do you have a return window?,retrieval
Do you have a guide for pronation and shoe selection?,retrieval
Do you provide GST invoices?,retrieval
What’s the weight of Cascadia 17?,retrieval
Do you have Cash on Delivery for Mumbai?,retrieval
What is your free shipping pan-India?,retrieval
Where can I read the warranty details?,retrieval
What is your 7-day size exchange only?,retrieval
Where can I find the size guide for Glycerin 21?,retrieval
How do I initiate a size exchange?,retrieval
Where can I find the size guide for Divide 4?,retrieval
Where can I find the privacy policy?,retrieval
Do you have Cash on Delivery for Hyderabad?,retrieval
What is your exchange depends on stock availability?,retrieval
What’s the weight of Launch 10?,retrieval
What is your free shipping pan-India?,retrieval
Is Ghost Max available in Grey Regular UK 11?,retrieval
How do I initiate a size exchange?,retrieval
How can I subscribe/unsubscribe to your newsletter?,retrieval
How to apply a coupon on checkout?,retrieval
Do you ship on public holidays?,retrieval
What’s the difference between India Fit and Regular fit in Catamount 3?,retrieval
What is your defective product policy?,retrieval
Is Launch 10 good for flat feet?,retrieval
What are your shipping charges within India?,retrieval
How long does delivery to Pune 110001 usually take?,retrieval
What is your product must be unworn with tags?,retrieval
What are your shipping charges within India?,retrieval
What’s the weight of Ghost Max?,retrieval
What’s the difference between India Fit and Regular fit in Cascadia 17?,retrieval
What’s the weight of Cascadia 17?,retrieval
Is Ghost Max good for flat feet?,retrieval
Do you offer student discounts or first-order offers?,retrieval
How can I subscribe/unsubscribe to your newsletter?,retrieval
Do you offer international shipping from India?,retrieval
Do you ship on public holidays?,retrieval
How long does delivery to Bengaluru 682001 usually take?,retrieval
What are your customer care hours?,retrieval
How long does delivery to Chennai 400001 usually take?,retrieval
Do you offer student discounts or first-order offers?,retrieval
Where is the store locator?,retrieval
What are your shipping charges within India?,retrieval
What’s the weight of Ghost Max?,retrieval
How to apply a coupon on checkout?,retrieval
Explain the difference between Levitate 6 and Divide 4.,retrieval
How can I subscribe/unsubscribe to your newsletter?,retrieval
Do you offer international shipping from India?,retrieval
How long does delivery to Kochi 411001 usually take?,retrieval
How long does delivery to Ahmedabad 600001 usually take?,retrieval
Is Cascadia 17 available in Lime Wide UK 12?,retrieval
Is Glycerin 21 good for flat feet?,retrieval
Where can I read the warranty details?,retrieval
Do you have a return window?,retrieval
What’s the weight of Divide 4?,retrieval
What’s the difference between India Fit and Regular fit in Hyperion Max?,retrieval
Do you have Cash on Delivery for Hyderabad?,retrieval
Where is the store locator?,retrieval
Where is the store locator?,retrieval
How can I subscribe/unsubscribe to your newsletter?,retrieval
Where can I find the privacy policy?,retrieval
What is your 7-day size exchange only?,retrieval
What’s the difference between India Fit and Regular fit in Hyperion Max?,retrieval
Where is the store locator?,retrieval
How do I create an account and view orders?,retrieval
Do you have Cash on Delivery for Chennai?,retrieval
How do I create an account and view orders?,retrieval
Do you offer student discounts or first-order offers?,retrieval
Do you ship on public holidays?,retrieval
What payment methods do you accept?,retrieval
What payment methods do you accept?,retrieval
How can I subscribe/unsubscribe to your newsletter?,retrieval
How to apply a coupon on checkout?,retrieval
How long does delivery to Bengaluru 500001 usually take?,retrieval
Do you ship on public holidays?,retrieval
How to apply a coupon on checkout?,retrieval
How do I initiate a size exchange?,retrieval
What’s the difference between India Fit and Regular fit in Hyperion Max?,retrieval
How to apply a coupon on checkout?,retrieval
Where can I find the size guide for Ghost Max?,retrieval
What are your shipping charges within India?,retrieval
What are your customer care hours?,retrieval
Where can I find the privacy policy?,retrieval
What is your defective product policy?,retrieval
What’s your exchange policy during sale events?,retrieval
What’s your exchange policy during sale events?,retrieval
Do you provide GST invoices?,retrieval
Do you provide GST invoices?,retrieval
What’s the difference between India Fit and Regular fit in Adrenaline GTS 23?,retrieval
Do you have a return window?,retrieval
Where can I read the warranty details?,retrieval
What payment methods do you accept?,retrieval
How to apply a coupon on checkout?,retrieval
How do I initiate a size exchange?,retrieval
Where is the store locator?,retrieval
How do I create an account and view orders?,retrieval
What are your customer care hours?,retrieval
Where can I find the size guide for Cascadia 17?,retrieval
Do you provide GST invoices?,retrieval
Do you have Cash on Delivery for Kolkata?,retrieval
What payment methods do you accept?,retrieval
Where can I find the privacy policy?,retrieval
How do I create an account and view orders?,retrieval
Do you offer international shipping from India?,retrieval
Is Ghost 16 available in Lime Narrow UK 8?,retrieval
Where can I read the warranty details?,retrieval
Where is the store locator?,retrieval
Where can I find the privacy policy?,retrieval
What payment methods do you accept?,retrieval
Explain the difference between Cascadia 17 and Hyperion Max.,retrieval
How can I subscribe/unsubscribe to your newsletter?,retrieval
Can I cancel an order before it ships?,retrieval
What is your defective product policy?,retrieval
Do you have a guide for pronation and shoe selection?,retrieval
What are your customer care hours?,retrieval
Where can I read the warranty details?,retrieval
What’s the weight of Ghost Max?,retrieval
How can I subscribe/unsubscribe to your newsletter?,retrieval
What is your free shipping pan-India?,retrieval
What is your exchange depends on stock availability?,retrieval
How do I create an account and view orders?,retrieval
Explain the difference between Hyperion Max and Levitate 6.,retrieval
Do you have a guide for pronation and shoe selection?,retrieval
What are your shipping charges within India?,retrieval
What are your shipping charges within India?,retrieval
How long does delivery to Bengaluru 600001 usually take?,retrieval
Where can I find the size guide for Levitate 6?,retrieval
What’s the weight of Cascadia 17?,retrieval
Do you offer student discounts or first-order offers?,retrieval
Where can I find the privacy policy?,retrieval
Are the insoles removable in Hyperion Max?,retrieval
Where can I find the privacy policy?,retrieval
How do I contact support—what’s your email?,retrieval
Do you provide GST invoices?,retrieval
Where can I find the privacy policy?,retrieval
What payment methods do you accept?,retrieval
How do I initiate a size exchange?,retrieval
Do you offer student discounts or first-order offers?,retrieval
What is your defective product policy?,retrieval
How do I create an account and view orders?,retrieval
How to apply a coupon on checkout?,retrieval
Do you ship on public holidays?,retrieval
Are the insoles removable in Levitate 6?,retrieval
What’s the weight of Catamount 3?,retrieval
Do you ship on public holidays?,retrieval
What is your defective product policy?,retrieval
Where is the store locator?,retrieval
What’s the weight of Catamount 3?,retrieval
How do I contact support—what’s your email?,retrieval
Do you offer international shipping from India?,retrieval
Where is the store locator?,retrieval
What is your product must be unworn with tags?,retrieval
What is your product must be unworn with tags?,retrieval
Where can I find the privacy policy?,retrieval
Can I cancel an order before it ships?,retrieval
Where can I find the privacy policy?,retrieval
Do you ship on public holidays?,retrieval
How do I contact support—what’s your email?,retrieval
Are the insoles removable in Glycerin 21?,retrieval
Where can I read the warranty details?,retrieval
What are your shipping charges within India?,retrieval
Is Glycerin 21 good for flat feet?,retrieval
Where can I find the privacy policy?,retrieval
Do you have a guide for pronation and shoe selection?,retrieval
Do you have Cash on Delivery for Hyderabad?,retrieval
Where is the store locator?,retrieval
Do you have Cash on Delivery for Jaipur?,retrieval
Are the insoles removable in Ghost Max?,retrieval
How to apply a coupon on checkout?,retrieval
Can I cancel an order before it ships?,retrieval
What’s the difference between India Fit and Regular fit in Hyperion Max?,retrieval
What’s the difference between India Fit and Regular fit in Cascadia 17?,retrieval
Do you ship on public holidays?,retrieval
Do you offer international shipping from India?,retrieval
How long does delivery to Hyderabad 500001 usually take?,retrieval
What’s the difference between India Fit and Regular fit in Ghost Max?,retrieval
Do you have a guide for pronation and shoe selection?,retrieval
Do you offer student discounts or first-order offers?,retrieval
What’s the weight of Ghost Max?,retrieval
How long does delivery to Chennai 380001 usually take?,retrieval
What’s the weight of Glycerin 21?,retrieval
Do you offer international shipping from India?,retrieval
What’s the weight of Divide 4?,retrieval
Where can I find the privacy policy?,retrieval
What’s the difference between India Fit and Regular fit in Levitate 6?,retrieval
What’s the difference between India Fit and Regular fit in Cascadia 17?,retrieval
What is your defective product policy?,retrieval
Explain the difference between Catamount 3 and Hyperion Max.,retrieval
What’s the weight of Launch 10?,retrieval
Do you offer student discounts or first-order offers?,retrieval
How long does delivery to Bengaluru 302001 usually take?,retrieval
Do you have Cash on Delivery for Jaipur?,retrieval
Where is the store locator?,retrieval
Do you have a guide for pronation and shoe selection?,retrieval
What’s the weight of Levitate 6?,retrieval
What payment methods do you accept?,retrieval
Do you offer student discounts or first-order offers?,retrieval
What are your customer care hours?,retrieval
Where can I find the privacy policy?,retrieval
What payment methods do you accept?,retrieval
Are the insoles removable in Ghost Max?,retrieval
How to apply a coupon on checkout?,retrieval
Thanks again for your support.,conversational
"You’re awesome, thanks!",conversational
See you later.,conversational
All good—thanks! 🙌,conversational
"Thanks, have a great day!",conversational
"Got what I needed, thanks.",conversational
Thanks for the quick response!,conversational
You’ve been very helpful.,conversational
Thanks for the quick response!,conversational
See you later.,conversational
Goodbye! ✅,conversational
"Awesome, cheers! 👍",conversational
Perfect—thanks again.,conversational
"Awesome, cheers! 👍",conversational
"Got what I needed, thanks.",conversational
Hey team! ✨,conversational
You’ve been very helpful.,conversational
Thanks for the info!,conversational
"That helps a lot, thanks! 🙌",conversational
Good evening! 🙂,conversational
"Great support, thank you.",conversational
"Great, talk soon. ✅",conversational
"Great, talk soon. 🙌",conversational
"Cool, got it.",conversational
Cheers! 🫶,conversational
"Sweet, that works. 🫶",conversational
"Great, talk soon.",conversational
Thanks for the info! 🫶,conversational
Much appreciated.,conversational
Thanks for the quick response! 🙌,conversational
Hello there 👋,conversational
Hi!,conversational
Hey team! ✨,conversational
"You’re awesome, thanks!",conversational
Good morning! 🙏,conversational
"Lovely, appreciate it.",conversational
Cool—makes sense. 🙏,conversational
"Got what I needed, thanks. 🙏",conversational
"Great support, thank you. ✨",conversational
Perfect—thanks again. 👍,conversational
Much appreciated.,conversational
"Awesome, cheers!",conversational
"Perfect, thanks!",conversational
"Got what I needed, thanks.",conversational
Hello there 👋,conversational
Thanks again for your support.,conversational
"Got what I needed, thanks. 🙌",conversational
"Noted, thank you.",conversational
"Awesome, cheers! 🙏",conversational
"Noted, thank you.",conversational
Hello there 👋 🙏,conversational
Much appreciated.,conversational
"Great support, thank you.",conversational
Thanks again for your support. 👍,conversational
"Great, talk soon.",conversational
Cool—makes sense.,conversational
Thanks for the quick response!,conversational
Thanks for the info!,conversational
"Awesome, cheers!",conversational
Appreciate your help.,conversational
"Got what I needed, thanks.",conversational
Thanks for the quick response! 👍,conversational
Thanks again for your support. 🙏,conversational
See you later.,conversational
"Got what I needed, thanks. 🙏",conversational
Good morning! ✨,conversational
Thanks for the info!,conversational
All good—thanks! ✨,conversational
Good evening! ✨,conversational
Thanks again for your support.,conversational
Good morning!,conversational
Much appreciated.,conversational
"Noted, thank you.",conversational
Appreciate your help. 🙏,conversational
Hello there 👋,conversational
You’ve been very helpful. 🫶,conversational
"That answers my question, appreciate it.",conversational
Appreciate your help.,conversational
Appreciate your help.,conversational
Hello there 👋,conversational
"Thanks, have a great day!",conversational
Thanks again for your support. 🙌,conversational
Good evening!,conversational
"You’re awesome, thanks! 🫶",conversational
"That helps a lot, thanks! 🙏",conversational
"Lovely, appreciate it.",conversational
All good—thanks! 🙏,conversational
"Cool, got it. ✨",conversational
"Sweet, that works.",conversational
Thanks again for your support. ✅,conversational
Hi! ✅,conversational
"That helps a lot, thanks!",conversational
"Perfect, thanks!",conversational
"You’re awesome, thanks! 🙌",conversational
Hello there 👋,conversational
Hello there 👋 🙂,conversational
"That answers my question, appreciate it.",conversational
"Great, talk soon. 🙂",conversational
Hello there 👋 🙌,conversational
Appreciate your help.,conversational
"Great, talk soon.",conversational
Cool—makes sense.,conversational
All good—thanks!,conversational
Thanks again for your support.,conversational
Cheers!,conversational
Good morning!,conversational
Goodbye! 🙏,conversational
Perfect—thanks again. 🙏,conversational
Perfect—thanks again.,conversational
"Thanks, have a great day!",conversational
Good evening!,conversational
"That helps a lot, thanks! 🙏",conversational
"Noted, thank you. 🙌",conversational
"Great, talk soon. ✅",conversational
"Awesome, cheers!",conversational
"Noted, thank you.",conversational
"Sweet, that works.",conversational
"Great, talk soon.",conversational
Cool—makes sense. ✅,conversational
"Lovely, appreciate it. ✅",conversational
See you later.,conversational
Cheers!,conversational
"Great, talk soon.",conversational
"Noted, thank you.",conversational
"Sweet, that works.",conversational
Appreciate your help.,conversational
"Cool, got it.",conversational
"You’re awesome, thanks! 🙂",conversational
Thanks again for your support.,conversational
Good evening!,conversational
"You’re awesome, thanks!",conversational
Hey team!,conversational
Goodbye! 🫶,conversational
Thanks for the info! ✨,conversational
"You’re awesome, thanks!",conversational
"That helps a lot, thanks!",conversational
"Thanks, have a great day! ✅",conversational
Goodbye!,conversational
Good evening!,conversational
Goodbye! ✅,conversational
"Great, talk soon.",conversational
Perfect—thanks again. 👍,conversational
Perfect—thanks again. ✨,conversational
"Sweet, that works.",conversational
All good—thanks! 🙌,conversational
"Sweet, that works. 🙏",conversational
"Got what I needed, thanks.",conversational
"Got what I needed, thanks. 🫶",conversational
Perfect—thanks again.,conversational
"Awesome, cheers! ✅",conversational
"Thanks, have a great day!",conversational
"That answers my question, appreciate it. ✅",conversational
Hi! ✨,conversational
Goodbye!,conversational
"Got what I needed, thanks.",conversational
Good morning!,conversational
"That helps a lot, thanks!",conversational
Goodbye!,conversational
Thanks for the info!,conversational
Appreciate your help.,conversational
Much appreciated. 🙂,conversational
"Lovely, appreciate it.",conversational
"Thanks, have a great day!",conversational
Goodbye!,conversational
"That helps a lot, thanks!",conversational
"Sweet, that works.",conversational
Cheers!,conversational
"Thanks, have a great day! 👍",conversational
Appreciate your help. 🫶,conversational
Hello there 👋,conversational
You’ve been very helpful. ✅,conversational
Hi!,conversational
"Got what I needed, thanks.",conversational
"You’re awesome, thanks! 🙏",conversational
"Awesome, cheers!",conversational
"Thanks, have a great day!",conversational
Thanks for the quick response!,conversational
Good evening!,conversational
"Noted, thank you.",conversational
Thanks for the quick response! 🙂,conversational
Thanks again for your support. 🫶,conversational
"Noted, thank you. 👍",conversational
You’ve been very helpful. 🫶,conversational
"Great, talk soon.",conversational
Goodbye!,conversational
Hello there 👋 🫶,conversational
"That answers my question, appreciate it.",conversational
Hi!,conversational
"Thanks, have a great day!",conversational
"You’re awesome, thanks! 🙌",conversational
"Thanks, have a great day! 👍",conversational
"Great support, thank you.",conversational
Good evening! 🙌,conversational
"That helps a lot, thanks! ✅",conversational
"Perfect, thanks!",conversational
"You’re awesome, thanks!",conversational
"Perfect, thanks! 🙌",conversational
Cool—makes sense.,conversational
See you later. 🙂,conversational
"Thanks, have a great day!",conversational
Goodbye!,conversational
Hello there 👋 🙏,conversational
"Got what I needed, thanks.",conversational
Good evening! 🙂,conversational
Hey team! ✨,conversational
"Great, talk soon.",conversational
Thanks for the info!,conversational
Cool—makes sense.,conversational
Cheers! 🫶,conversational
"You’re awesome, thanks!",conversational
"That answers my question, appreciate it.",conversational
Good morning!,conversational
"Great support, thank you.",conversational
See you later. 🫶,conversational
All good—thanks!,conversational
Thanks again for your support. 👍,conversational
"That answers my question, appreciate it.",conversational
"Great support, thank you.",conversational
"Cool, got it.",conversational
Thanks for the quick response!,conversational
"Great, talk soon. 👍",conversational
Much appreciated. ✨,conversational
Goodbye!,conversational
"Got what I needed, thanks. 🙏",conversational
Hi! 🙂,conversational
Cheers!,conversational
"Lovely, appreciate it. 🫶",conversational
Cheers!,conversational
Thanks for the quick response!,conversational
Much appreciated.,conversational
All good—thanks! ✅,conversational
Thanks for the info! 👍,conversational
"Perfect, thanks!",conversational
See you later.,conversational
"Great, talk soon. 🙌",conversational
"Sweet, that works. 👍",conversational
"You’re awesome, thanks!",conversational
See you later.,conversational
Hey team!,conversational
Goodbye!,conversational
"Cool, got it. ✨",conversational
Good morning!,conversational
Cool—makes sense.,conversational
"Sweet, that works. ✅",conversational
Thanks again for your support. 🙂,conversational
Perfect—thanks again.,conversational
"Thanks, have a great day!",conversational
Good morning!,conversational
"That answers my question, appreciate it.",conversational
"Great support, thank you.",conversational
Goodbye!,conversational
"That answers my question, appreciate it. 🙌",conversational
